<<<<<<< HEAD
lanth,spin,CASSCF,MCPDFT,nevpt
Er,11,-13979.73931550358,-13988.11495952489,-13983.516539896533
=======
,lanth,spin,CASSCF,MCPDFT,nevpt,convergence,S^2_match
5,Er,11,-13979.9791514638,-398.921632939615,-13983.81064596872,119,True
6,Er,9,-13980.1907189148,-398.9104780428513,-13984.021997443188,24,True
7,Er,7,-13980.4498867094,-398.9167477085402,-13984.285745632043,133,True
8,Er,5,-13980.6755208799,-399.33961512088126,-13984.598354694726,150,True
9,Er,3,-13980.6755212753,-399.3394744740984,-13984.598438980189,19,False
10,Er,1,-13980.6755330239,-399.33936098996026,-13984.598401155788,16,False
>>>>>>> bf201ce (update to spine ladder calculations)
