<<<<<<< HEAD
lanth,spin,CASSCF,MCPDFT,nevpt
Ho,0,-13510.579337441724,-13519.024392976278,-13514.430481499225
Ho,2,-13510.629583233416,-13519.049745537302,-13514.475372482468
Ho,4,-13510.757680697296,-13519.12495947319,-13514.588367848624
Ho,6,-13510.49770637911,-13518.83244148461,-13514.293717385692
Ho,8,-13510.336016325078,-13518.673781410784,-13514.127951917551
Ho,10,-13510.111596870716,-13518.461560476808,-13513.908371584535
=======
,lanth,spin,CASSCF,MCPDFT,nevpt,convergence,S^2_match
19,Ho,10,-13510.24766684,-391.3784484273632,-13514.02886241306,143,True
20,Ho,8,-13510.4796150851,-391.78654980948215,-13514.308423679004,150,True
21,Ho,6,-13510.6307659827,-391.7522259259062,-13514.473446699412,150,True
22,Ho,4,-13510.6307026653,-391.7520941687616,-13514.473480271672,68,False
23,Ho,2,-13510.6306887894,-391.7518847313215,-13514.473477044348,150,False
24,Ho,0,-13510.5330980332,-391.64879367371225,-13514.473480805476,150,False
>>>>>>> bf201ce (update to spine ladder calculations)
