<<<<<<< HEAD
lanth,spin,CASSCF,MCPDFT,nevpt
Lu,10,-15457.536466696876,-15466.569130966149,-15461.644165919868
Lu,12,-15457.248225755431,-15466.30697233423,-15461.365854192709
=======
,lanth,spin,CASSCF,MCPDFT,nevpt,convergence,S^2_match
25,Lu,12,-15457.2171319464,-422.97020554115466,-15461.328791416165,75,True
26,Lu,10,-15457.4205497872,-422.92521276098,-15461.507707859728,138,True
27,Lu,8,-15457.7164999567,-423.1580083060297,-15461.810333338934,79,True
28,Lu,6,-15457.8834119458,-423.1304075454119,-15461.97311804372,41,True
29,Lu,4,-15458.0704261994,-423.0779048243442,-15462.168566753508,150,True
30,Lu,2,-15458.225449478,-423.0293595615848,-15462.34285122582,54,True
31,Lu,0,-15458.3307691242,-422.9952228637628,-15462.45411023321,17,True
>>>>>>> bf201ce (update to spine ladder calculations)
