<<<<<<< HEAD
lanth,spin,CASSCF,MCPDFT,nevpt
Tb,6,-12603.333990550302,-12611.381756793176,-12607.133554707409
Tb,8,-12603.11241075167,-12611.162937873049,-12606.908071918271
=======
,lanth,spin,CASSCF,MCPDFT,nevpt,convergence,S^2_match
42,Tb,8,-12603.2702713576,-377.03722437450784,-12607.040290758789,15,True
43,Tb,6,-12603.2701520734,-377.03713069163285,-12607.040288919205,5,False
44,Tb,4,-12603.2700997776,-377.03701666443015,-12607.040290330198,5,False
45,Tb,2,-12603.1420557255,-376.89600867533767,-12607.040296682571,40,False
46,Tb,0,-12603.0554942905,-376.79244106603545,-12607.040090061008,150,False
>>>>>>> bf201ce (update to spine ladder calculations)
